drugname1	drugname2	cell_line	bliss
5-FU	ABT-888	A2058	8.85
5-FU	AZD1775	A2058	11.2075
5-FU	BEZ-235	A2058	3.8375
5-FU	BORTEZOMIB	A2058	2.8150000000000004
5-FU	DASATINIB	A2058	7.57
5-FU	DINACICLIB	A2058	5.715
5-FU	ERLOTINIB	A2058	11.585
5-FU	GELDANAMYCIN	A2058	6.025
5-FU	L778123	A2058	7.672499999999999
5-FU	LAPATINIB	A2058	9.6275
5-FU	MK-2206	A2058	8.74
5-FU	MK-4827	A2058	-0.8225
5-FU	MK-5108	A2058	7.952499999999999
5-FU	MK-8669	A2058	10.5475
5-FU	MK-8776	A2058	5.055
5-FU	PD325901	A2058	3.7025
5-FU	SORAFENIB	A2058	14.2475
5-FU	SUNITINIB	A2058	14.155
5-FU	TEMOZOLOMIDE	A2058	-0.7449999999999999
5-FU	ZOLINZA	A2058	10.275
ABT-888	BEZ-235	A2058	11.33
ABT-888	DINACICLIB	A2058	7.5175
ABT-888	GELDANAMYCIN	A2058	13.954999999999998
ABT-888	MK-8669	A2058	9.9125
ABT-888	MK-8776	A2058	4.7075
ABT-888	OXALIPLATIN	A2058	4.5025
ABT-888	SN-38	A2058	22.42
ABT-888	SORAFENIB	A2058	36.395
ABT-888	TOPOTECAN	A2058	2.52
AZD1775	ABT-888	A2058	8.59
AZD1775	BEZ-235	A2058	3.9975
AZD1775	BORTEZOMIB	A2058	2.885
AZD1775	DASATINIB	A2058	7.701249999999999
AZD1775	DINACICLIB	A2058	2.8675
AZD1775	ERLOTINIB	A2058	6.6175
AZD1775	GELDANAMYCIN	A2058	7.165000000000001
AZD1775	LAPATINIB	A2058	9.515
AZD1775	MK-2206	A2058	7.694999999999999
AZD1775	MK-4827	A2058	16.075
AZD1775	MK-5108	A2058	0.6125
AZD1775	MK-8669	A2058	13.9375
AZD1775	MK-8776	A2058	23.80625
AZD1775	OXALIPLATIN	A2058	6.1675
AZD1775	PD325901	A2058	6.7025
AZD1775	SN-38	A2058	9.28
AZD1775	SORAFENIB	A2058	9.925
AZD1775	TOPOTECAN	A2058	5.77
BEZ-235	DINACICLIB	A2058	5.135
BEZ-235	MK-8776	A2058	8.785
BEZ-235	OXALIPLATIN	A2058	9.085
BEZ-235	SN-38	A2058	2.1625
BEZ-235	SORAFENIB	A2058	10.5875
BORTEZOMIB	ABT-888	A2058	5.7775
BORTEZOMIB	BEZ-235	A2058	4.6075
BORTEZOMIB	DASATINIB	A2058	3.93
BORTEZOMIB	DINACICLIB	A2058	0.3124999999999999
BORTEZOMIB	GELDANAMYCIN	A2058	3.3325
BORTEZOMIB	MK-8669	A2058	1.71
BORTEZOMIB	MK-8776	A2058	4.7575
BORTEZOMIB	OXALIPLATIN	A2058	3.21
BORTEZOMIB	SN-38	A2058	13.5225
BORTEZOMIB	SORAFENIB	A2058	13.985
BORTEZOMIB	TOPOTECAN	A2058	1.95
CARBOPLATIN	ABT-888	A2058	3.3675
CARBOPLATIN	AZD1775	A2058	14.3125
CARBOPLATIN	BEZ-235	A2058	1.7675
CARBOPLATIN	BORTEZOMIB	A2058	3.71
CARBOPLATIN	DASATINIB	A2058	5.3225
CARBOPLATIN	DINACICLIB	A2058	7.25
CARBOPLATIN	ERLOTINIB	A2058	7.1125
CARBOPLATIN	GELDANAMYCIN	A2058	7.6375
CARBOPLATIN	L778123	A2058	6.010000000000001
CARBOPLATIN	LAPATINIB	A2058	7.8225
CARBOPLATIN	MK-2206	A2058	5.555
CARBOPLATIN	MK-4827	A2058	3.3975
CARBOPLATIN	MK-5108	A2058	1.6950000000000005
CARBOPLATIN	MK-8669	A2058	5.4325
CARBOPLATIN	MK-8776	A2058	9.0375
CARBOPLATIN	PD325901	A2058	-4.845000000000001
CARBOPLATIN	SORAFENIB	A2058	1.62
CARBOPLATIN	SUNITINIB	A2058	9.405
CARBOPLATIN	TEMOZOLOMIDE	A2058	-3.2550000000000003
CARBOPLATIN	ZOLINZA	A2058	10.595
CYCLOPHOSPHAMIDE	ABT-888	A2058	18.4625
CYCLOPHOSPHAMIDE	AZD1775	A2058	7.4525
CYCLOPHOSPHAMIDE	BEZ-235	A2058	8.185
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	5.845
CYCLOPHOSPHAMIDE	DASATINIB	A2058	4.637499999999999
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	9.235
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	4.1325
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	7.865
CYCLOPHOSPHAMIDE	L778123	A2058	9.7425
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	7.8975
CYCLOPHOSPHAMIDE	MK-2206	A2058	8.567499999999999
CYCLOPHOSPHAMIDE	MK-4827	A2058	5.444999999999999
CYCLOPHOSPHAMIDE	MK-5108	A2058	5.2875
CYCLOPHOSPHAMIDE	MK-8669	A2058	11.29
CYCLOPHOSPHAMIDE	MK-8776	A2058	3.05
CYCLOPHOSPHAMIDE	PD325901	A2058	6.77
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	13.945
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	16.3775
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	11.87
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	13.43
DASATINIB	ABT-888	A2058	-0.0374999999999999
DASATINIB	BEZ-235	A2058	9.185
DASATINIB	DINACICLIB	A2058	7.8975
DASATINIB	GELDANAMYCIN	A2058	-2.125
DASATINIB	MK-8669	A2058	12.16
DASATINIB	MK-8776	A2058	5.984999999999999
DASATINIB	OXALIPLATIN	A2058	7.5175
DASATINIB	SN-38	A2058	6.32
DASATINIB	SORAFENIB	A2058	15.305
DASATINIB	TOPOTECAN	A2058	1.0875
DEXAMETHASONE	ABT-888	A2058	2.3675
DEXAMETHASONE	AZD1775	A2058	2.1175
DEXAMETHASONE	BEZ-235	A2058	8.2575
DEXAMETHASONE	BORTEZOMIB	A2058	4.029999999999999
DEXAMETHASONE	DASATINIB	A2058	2.585
DEXAMETHASONE	DINACICLIB	A2058	3.6625
DEXAMETHASONE	ERLOTINIB	A2058	-0.5525000000000001
DEXAMETHASONE	GELDANAMYCIN	A2058	8.7775
DEXAMETHASONE	L778123	A2058	4.625
DEXAMETHASONE	LAPATINIB	A2058	3.39
DEXAMETHASONE	MK-2206	A2058	8.5675
DEXAMETHASONE	MK-4827	A2058	-5.685
DEXAMETHASONE	MK-5108	A2058	-0.7475000000000002
DEXAMETHASONE	MK-8669	A2058	11.3725
DEXAMETHASONE	MK-8776	A2058	1.9725
DEXAMETHASONE	PD325901	A2058	11.3625
DEXAMETHASONE	SORAFENIB	A2058	19.6575
DEXAMETHASONE	SUNITINIB	A2058	17.79
DEXAMETHASONE	TEMOZOLOMIDE	A2058	-4.73
DEXAMETHASONE	ZOLINZA	A2058	8.2975
DINACICLIB	MK-8776	A2058	-1.1549999999999998
DOXORUBICIN	ABT-888	A2058	-1.99
DOXORUBICIN	AZD1775	A2058	2.475
DOXORUBICIN	BEZ-235	A2058	-3.24
DOXORUBICIN	BORTEZOMIB	A2058	-1.0199999999999998
DOXORUBICIN	DASATINIB	A2058	-0.79
DOXORUBICIN	DINACICLIB	A2058	-0.225
DOXORUBICIN	ERLOTINIB	A2058	-0.4825
DOXORUBICIN	GELDANAMYCIN	A2058	-0.1375
DOXORUBICIN	L778123	A2058	2.52
DOXORUBICIN	LAPATINIB	A2058	1.63
DOXORUBICIN	MK-2206	A2058	-0.4925
DOXORUBICIN	MK-4827	A2058	-6.0475
DOXORUBICIN	MK-5108	A2058	-6.0375000000000005
DOXORUBICIN	MK-8669	A2058	-3.91
DOXORUBICIN	MK-8776	A2058	-2.2675
DOXORUBICIN	PD325901	A2058	0.8825
DOXORUBICIN	SORAFENIB	A2058	-1.34
DOXORUBICIN	SUNITINIB	A2058	-2.045
DOXORUBICIN	TEMOZOLOMIDE	A2058	-4.6375
DOXORUBICIN	ZOLINZA	A2058	0.995
ERLOTINIB	ABT-888	A2058	3.2950000000000004
ERLOTINIB	BEZ-235	A2058	6.875
ERLOTINIB	BORTEZOMIB	A2058	1.6800000000000002
ERLOTINIB	DASATINIB	A2058	8.095
ERLOTINIB	DINACICLIB	A2058	3.3825000000000003
ERLOTINIB	GELDANAMYCIN	A2058	6.3725
ERLOTINIB	MK-8669	A2058	19.3625
ERLOTINIB	MK-8776	A2058	4.78
ERLOTINIB	OXALIPLATIN	A2058	0.8400000000000001
