drugname1	drugname2	cell_line	hsa
5-FU	ABT-888	A2058	8.129999999999999
5-FU	AZD1775	A2058	14.0975
5-FU	BEZ-235	A2058	7.5975
5-FU	BORTEZOMIB	A2058	0.3525
5-FU	DASATINIB	A2058	12.6675
5-FU	DINACICLIB	A2058	7.72
5-FU	ERLOTINIB	A2058	14.345
5-FU	GELDANAMYCIN	A2058	8.8725
5-FU	L778123	A2058	12.38
5-FU	LAPATINIB	A2058	11.1625
5-FU	MK-2206	A2058	12.57
5-FU	MK-4827	A2058	3.46
5-FU	MK-5108	A2058	10.88
5-FU	MK-8669	A2058	14.6375
5-FU	MK-8776	A2058	10.6975
5-FU	PD325901	A2058	7.647500000000001
5-FU	SORAFENIB	A2058	12.97
5-FU	SUNITINIB	A2058	17.17
5-FU	TEMOZOLOMIDE	A2058	5.0525
5-FU	ZOLINZA	A2058	9.39
ABT-888	BEZ-235	A2058	11.09
ABT-888	DINACICLIB	A2058	7.057499999999999
ABT-888	GELDANAMYCIN	A2058	13.63
ABT-888	MK-8669	A2058	9.267499999999998
ABT-888	MK-8776	A2058	4.3775
ABT-888	OXALIPLATIN	A2058	2.5725
ABT-888	SN-38	A2058	22.0925
ABT-888	SORAFENIB	A2058	33.965
ABT-888	TOPOTECAN	A2058	2.3525
AZD1775	ABT-888	A2058	8.265
AZD1775	BEZ-235	A2058	8.8025
AZD1775	BORTEZOMIB	A2058	1.295
AZD1775	DASATINIB	A2058	11.89375
AZD1775	DINACICLIB	A2058	5.27
AZD1775	ERLOTINIB	A2058	9.4575
AZD1775	GELDANAMYCIN	A2058	11.0325
AZD1775	LAPATINIB	A2058	11.235
AZD1775	MK-2206	A2058	11.295
AZD1775	MK-4827	A2058	21.275
AZD1775	MK-5108	A2058	3.9175
AZD1775	MK-8669	A2058	17.96
AZD1775	MK-8776	A2058	28.925
AZD1775	OXALIPLATIN	A2058	7.195
AZD1775	PD325901	A2058	10.325
AZD1775	SN-38	A2058	12.12
AZD1775	SORAFENIB	A2058	9.475
AZD1775	TOPOTECAN	A2058	9.7525
BEZ-235	DINACICLIB	A2058	8.825
BEZ-235	MK-8776	A2058	15.7525
BEZ-235	OXALIPLATIN	A2058	11.39
BEZ-235	SN-38	A2058	5.902500000000001
BEZ-235	SORAFENIB	A2058	10.7475
BORTEZOMIB	ABT-888	A2058	2.5250000000000004
BORTEZOMIB	BEZ-235	A2058	3.9575
BORTEZOMIB	DASATINIB	A2058	1.5074999999999998
BORTEZOMIB	DINACICLIB	A2058	-1.03
BORTEZOMIB	GELDANAMYCIN	A2058	2.9925
BORTEZOMIB	MK-8669	A2058	-0.6075
