drugname1	drugname2	cell_line	loewe
5-FU	ABT-888	A2058	7.6935301658
5-FU	AZD1775	A2058	13.0526874408
5-FU	BEZ-235	A2058	13.6791116022
5-FU	BORTEZOMIB	A2058	-5.2398784479
5-FU	DASATINIB	A2058	31.1256441825
5-FU	DINACICLIB	A2058	4.3316952071
5-FU	ERLOTINIB	A2058	9.6942857549
5-FU	GELDANAMYCIN	A2058	7.3767092383
5-FU	L778123	A2058	9.7282647976
5-FU	LAPATINIB	A2058	9.1921381489
5-FU	MK-2206	A2058	15.9003975952
5-FU	MK-4827	A2058	6.7380597244
5-FU	MK-5108	A2058	1.8048954561
5-FU	MK-8669	A2058	32.336231656
5-FU	MK-8776	A2058	23.5227129994
5-FU	PD325901	A2058	2.2648345474
5-FU	SORAFENIB	A2058	1.4874561767
5-FU	SUNITINIB	A2058	9.6216201263
5-FU	TEMOZOLOMIDE	A2058	2.774368984
5-FU	ZOLINZA	A2058	-5.508119589400001
ABT-888	BEZ-235	A2058	24.0709714753
ABT-888	DINACICLIB	A2058	11.1487216398
ABT-888	GELDANAMYCIN	A2058	22.669720815300003
ABT-888	MK-8669	A2058	24.7600060155
ABT-888	MK-8776	A2058	15.4587203955
ABT-888	OXALIPLATIN	A2058	4.9360377328
ABT-888	SN-38	A2058	37.1975524441
ABT-888	SORAFENIB	A2058	36.1961652133
ABT-888	TOPOTECAN	A2058	-1.1875311978
AZD1775	ABT-888	A2058	10.2488077977
AZD1775	BEZ-235	A2058	10.17818370015
AZD1775	BORTEZOMIB	A2058	0.2380155480999999
AZD1775	DASATINIB	A2058	34.97062024235
AZD1775	DINACICLIB	A2058	-12.3658597754
AZD1775	ERLOTINIB	A2058	6.9779629489
AZD1775	GELDANAMYCIN	A2058	8.1440436825
AZD1775	LAPATINIB	A2058	7.2283537341
AZD1775	MK-2206	A2058	18.8447263032
AZD1775	MK-4827	A2058	32.7687294711
AZD1775	MK-5108	A2058	-9.504263856
AZD1775	MK-8669	A2058	38.93836298
AZD1775	MK-8776	A2058	69.5765508979
AZD1775	OXALIPLATIN	A2058	-0.3924191221
AZD1775	PD325901	A2058	9.7129387617
AZD1775	SN-38	A2058	3.0746171886
AZD1775	SORAFENIB	A2058	-7.5305896353
AZD1775	TOPOTECAN	A2058	5.7150175915
BEZ-235	DINACICLIB	A2058	12.82913573
BEZ-235	MK-8776	A2058	65.61573897390001
BEZ-235	OXALIPLATIN	A2058	21.650410858
BEZ-235	SN-38	A2058	1.9333510289
BEZ-235	SORAFENIB	A2058	5.7140047803
BORTEZOMIB	ABT-888	A2058	7.2379476899
BORTEZOMIB	BEZ-235	A2058	6.8176625764
BORTEZOMIB	DASATINIB	A2058	21.6596544046
BORTEZOMIB	DINACICLIB	A2058	-20.0646922996
BORTEZOMIB	GELDANAMYCIN	A2058	-12.3447524076
BORTEZOMIB	MK-8669	A2058	-6.295088842999999
BORTEZOMIB	MK-8776	A2058	16.4094980088
BORTEZOMIB	OXALIPLATIN	A2058	1.295470719
BORTEZOMIB	SN-38	A2058	28.0928624372
BORTEZOMIB	SORAFENIB	A2058	5.6802129162
BORTEZOMIB	TOPOTECAN	A2058	-12.1881843756
CARBOPLATIN	ABT-888	A2058	2.7198664064
CARBOPLATIN	AZD1775	A2058	2.0968501681
CARBOPLATIN	BEZ-235	A2058	-6.0745276072
CARBOPLATIN	BORTEZOMIB	A2058	-15.8134978266
CARBOPLATIN	DASATINIB	A2058	36.5563123529
CARBOPLATIN	DINACICLIB	A2058	-19.9574716164
CARBOPLATIN	ERLOTINIB	A2058	-7.666082701100001
CARBOPLATIN	GELDANAMYCIN	A2058	9.354111594
CARBOPLATIN	L778123	A2058	0.3311250385
CARBOPLATIN	LAPATINIB	A2058	-5.2848856154
CARBOPLATIN	MK-2206	A2058	1.3534486061000002
CARBOPLATIN	MK-4827	A2058	7.7318563899
CARBOPLATIN	MK-5108	A2058	-20.013842133
CARBOPLATIN	MK-8669	A2058	15.2037346962
CARBOPLATIN	MK-8776	A2058	32.6982278182
CARBOPLATIN	PD325901	A2058	-31.646250205500003
CARBOPLATIN	SORAFENIB	A2058	-33.2718055213
CARBOPLATIN	SUNITINIB	A2058	-8.8203031579
CARBOPLATIN	TEMOZOLOMIDE	A2058	-14.5629872909
CARBOPLATIN	ZOLINZA	A2058	-23.2939979817
CYCLOPHOSPHAMIDE	ABT-888	A2058	12.7249674359
CYCLOPHOSPHAMIDE	AZD1775	A2058	4.8374594684
