drugname1	drugname2	cell_line	zip
5-FU	ABT-888	A2058	2.585
5-FU	AZD1775	A2058	9.8175
5-FU	BEZ-235	A2058	2.51
5-FU	BORTEZOMIB	A2058	-2.395
5-FU	DASATINIB	A2058	1.5074999999999998
5-FU	DINACICLIB	A2058	2.555
5-FU	ERLOTINIB	A2058	8.252500000000001
5-FU	GELDANAMYCIN	A2058	6.057499999999999
5-FU	L778123	A2058	4.6525
5-FU	LAPATINIB	A2058	4.92
5-FU	MK-2206	A2058	6.484999999999999
5-FU	MK-4827	A2058	1.1425
5-FU	MK-5108	A2058	7.78
5-FU	MK-8669	A2058	8.432500000000001
5-FU	MK-8776	A2058	2.8275
5-FU	PD325901	A2058	1.5949999999999998
5-FU	SORAFENIB	A2058	11.155
5-FU	SUNITINIB	A2058	13.5325
5-FU	TEMOZOLOMIDE	A2058	-1.6875
5-FU	ZOLINZA	A2058	6.4875
ABT-888	BEZ-235	A2058	11.322500000000002
ABT-888	DINACICLIB	A2058	6.445
ABT-888	GELDANAMYCIN	A2058	14.5725
ABT-888	MK-8669	A2058	5.375000000000001
ABT-888	MK-8776	A2058	3.375
ABT-888	OXALIPLATIN	A2058	0.305
ABT-888	SN-38	A2058	20.3925
ABT-888	SORAFENIB	A2058	37.587500000000006
ABT-888	TOPOTECAN	A2058	3.795
AZD1775	ABT-888	A2058	7.1675
AZD1775	BEZ-235	A2058	4.7525
AZD1775	BORTEZOMIB	A2058	2.76
AZD1775	DASATINIB	A2058	5.79875
AZD1775	DINACICLIB	A2058	4.5200000000000005
AZD1775	ERLOTINIB	A2058	4.8875
AZD1775	GELDANAMYCIN	A2058	8.985
AZD1775	LAPATINIB	A2058	8.7375
AZD1775	MK-2206	A2058	5.045
AZD1775	MK-4827	A2058	19.76
AZD1775	MK-5108	A2058	1.5775
AZD1775	MK-8669	A2058	11.607500000000002
AZD1775	MK-8776	A2058	26.155
AZD1775	OXALIPLATIN	A2058	5.925
AZD1775	PD325901	A2058	5.090000000000001
AZD1775	SN-38	A2058	9.315
AZD1775	SORAFENIB	A2058	8.92
AZD1775	TOPOTECAN	A2058	6.66
BEZ-235	DINACICLIB	A2058	5.195
BEZ-235	MK-8776	A2058	10.52
BEZ-235	OXALIPLATIN	A2058	9.5975
BEZ-235	SN-38	A2058	2.4000000000000004
BEZ-235	SORAFENIB	A2058	10.0875
BORTEZOMIB	ABT-888	A2058	1.8925
BORTEZOMIB	BEZ-235	A2058	4.672499999999999
BORTEZOMIB	DASATINIB	A2058	1.05
BORTEZOMIB	DINACICLIB	A2058	1.415
BORTEZOMIB	GELDANAMYCIN	A2058	3.5625
BORTEZOMIB	MK-8669	A2058	0.1524999999999999
BORTEZOMIB	MK-8776	A2058	4.275
BORTEZOMIB	OXALIPLATIN	A2058	0.9549999999999998
BORTEZOMIB	SN-38	A2058	15.025
BORTEZOMIB	SORAFENIB	A2058	12.895
BORTEZOMIB	TOPOTECAN	A2058	2.6475
CARBOPLATIN	ABT-888	A2058	0.6575
CARBOPLATIN	AZD1775	A2058	14.8
CARBOPLATIN	BEZ-235	A2058	2.645
CARBOPLATIN	BORTEZOMIB	A2058	3.3725
CARBOPLATIN	DASATINIB	A2058	5.755
CARBOPLATIN	DINACICLIB	A2058	7.7325
CARBOPLATIN	ERLOTINIB	A2058	7.015000000000001
CARBOPLATIN	GELDANAMYCIN	A2058	9.1225
CARBOPLATIN	L778123	A2058	4.02
CARBOPLATIN	LAPATINIB	A2058	7.08
CARBOPLATIN	MK-2206	A2058	4.48
CARBOPLATIN	MK-4827	A2058	5.8325
CARBOPLATIN	MK-5108	A2058	2.3600000000000003
CARBOPLATIN	MK-8669	A2058	4.67
CARBOPLATIN	MK-8776	A2058	10.7575
CARBOPLATIN	PD325901	A2058	-4.8475
CARBOPLATIN	SORAFENIB	A2058	1.73
CARBOPLATIN	SUNITINIB	A2058	9.555
CARBOPLATIN	TEMOZOLOMIDE	A2058	-1.0525
CARBOPLATIN	ZOLINZA	A2058	10.5275
CYCLOPHOSPHAMIDE	ABT-888	A2058	12.9625
CYCLOPHOSPHAMIDE	AZD1775	A2058	6.7925
CYCLOPHOSPHAMIDE	BEZ-235	A2058	9.3525
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	4.33
CYCLOPHOSPHAMIDE	DASATINIB	A2058	-0.7575000000000001
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	7.9725
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	-0.9375
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	10.4975
CYCLOPHOSPHAMIDE	L778123	A2058	3.2375
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	2.55
CYCLOPHOSPHAMIDE	MK-2206	A2058	4.34
CYCLOPHOSPHAMIDE	MK-4827	A2058	6.7875
CYCLOPHOSPHAMIDE	MK-5108	A2058	3.9875
CYCLOPHOSPHAMIDE	MK-8669	A2058	5.677499999999999
CYCLOPHOSPHAMIDE	MK-8776	A2058	4.4725
CYCLOPHOSPHAMIDE	PD325901	A2058	5.2
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	10.875
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	13.7125
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	11.1125
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	9.985
DASATINIB	ABT-888	A2058	-4.3525
DASATINIB	BEZ-235	A2058	9.2025
DASATINIB	DINACICLIB	A2058	6.96
DASATINIB	GELDANAMYCIN	A2058	-1.815
DASATINIB	MK-8669	A2058	10.95
DASATINIB	MK-8776	A2058	5.6975
DASATINIB	OXALIPLATIN	A2058	3.7225
DASATINIB	SN-38	A2058	2.135
DASATINIB	SORAFENIB	A2058	13.4575
DASATINIB	TOPOTECAN	A2058	2.4525
DEXAMETHASONE	ABT-888	A2058	5.45
DEXAMETHASONE	AZD1775	A2058	5.225
DEXAMETHASONE	BEZ-235	A2058	9.975
DEXAMETHASONE	BORTEZOMIB	A2058	5.385
DEXAMETHASONE	DASATINIB	A2058	2.6975
DEXAMETHASONE	DINACICLIB	A2058	7.205
DEXAMETHASONE	ERLOTINIB	A2058	-0.9
DEXAMETHASONE	GELDANAMYCIN	A2058	11.3325
DEXAMETHASONE	L778123	A2058	0.2549999999999999
DEXAMETHASONE	LAPATINIB	A2058	4.18
