drugname1	drugname2	cell_line	zip	bliss	loewe	hsa
5-FU	ABT-888	COLO320DM	0.8125	1.5975	4.1759364346	2.6225
5-FU	AZD1775	COLO320DM	4.75	4.465	9.3986845957	10.295000000000002
5-FU	BEZ-235	COLO320DM	-0.915	-1.57	15.6281477403	7.6
5-FU	BORTEZOMIB	COLO320DM	7.72	7.505000000000001	-10.9704461582	8.215
5-FU	DASATINIB	COLO320DM	5.1975	5.2925	6.4670310089	3.095
5-FU	DINACICLIB	COLO320DM	0.985	1.6625	4.8075500511	5.8725
5-FU	ERLOTINIB	COLO320DM	3.96	3.2075	22.1679734087	10.5675
5-FU	GELDANAMYCIN	COLO320DM	3.05	3.005	7.231877045399999	2.745
5-FU	L778123	COLO320DM	-0.19	0.0549999999999999	17.7504354548	14.33
5-FU	LAPATINIB	COLO320DM	2.7075	2.085	3.2093461762	7.0425
5-FU	MK-2206	COLO320DM	1.38	0.9425	23.4842071652	12.075
5-FU	MK-4827	COLO320DM	0.655	1.45	7.4138771847	6.345000000000001
5-FU	MK-5108	COLO320DM	1.4375	1.46	12.5842536583	8.704999999999998
5-FU	MK-8669	COLO320DM	1.865	3.0775	9.3980636548	4.995
5-FU	MK-8776	COLO320DM	-2.385	-3.05	7.6258678878	3.75875
5-FU	PD325901	COLO320DM	0.4249999999999999	-1.1275000000000002	3.6824831827	-0.2349999999999999
5-FU	SORAFENIB	COLO320DM	-2.4225000000000003	-3.0075000000000003	3.4073460612	4.57
5-FU	SUNITINIB	COLO320DM	6.717499999999999	6.657500000000001	14.8230242637	16.895
5-FU	TEMOZOLOMIDE	COLO320DM	-8.8575	-9.405	8.6226783013	3.4775
5-FU	ZOLINZA	COLO320DM	1.2675	1.5525	5.375445156900001	6.292499999999999
ABT-888	BEZ-235	COLO320DM	9.775	10.265	23.5528962067	10.93
ABT-888	DINACICLIB	COLO320DM	-0.5150000000000001	1.36	4.9207349958	1.59
ABT-888	GELDANAMYCIN	COLO320DM	2.3275	0.3974999999999999	0.4863799622999999	-0.0424999999999995
ABT-888	MK-8669	COLO320DM	-2.62	-3.885	-5.4884612382	-3.3950000000000005
ABT-888	MK-8776	COLO320DM	7.439999999999999	10.3975	7.7577087959	10.5375
ABT-888	OXALIPLATIN	COLO320DM	-0.4274999999999999	2.6425	3.9699093101	2.87
ABT-888	SN-38	COLO320DM	1.3125	6.6525	8.3410749814	8.2025
ABT-888	SORAFENIB	COLO320DM	2.145	2.36	4.6002224021	3.1425
ABT-888	TOPOTECAN	COLO320DM	-3.08	-6.654999999999999	-9.6090362975	-5.6075
AZD1775	ABT-888	COLO320DM	2.5025	4.35	2.2816662041	4.57
AZD1775	BEZ-235	COLO320DM	5.017499999999999	5.05125	10.7706347024	9.13
AZD1775	BORTEZOMIB	COLO320DM	12.2675	13.085	-34.7287002331	12.9925
AZD1775	DASATINIB	COLO320DM	6.41125	6.154999999999999	7.95012882185	3.29
AZD1775	DINACICLIB	COLO320DM	5.092499999999999	5.595000000000001	-5.7323399788	7.495000000000001
AZD1775	ERLOTINIB	COLO320DM	5.6325	4.6425	-1.1704951773	8.120000000000001
AZD1775	GELDANAMYCIN	COLO320DM	7.647499999999999	9.02	5.9643788463	8.15
AZD1775	LAPATINIB	COLO320DM	11.585	11.2475	2.7637967430000003	13.1375
AZD1775	MK-2206	COLO320DM	8.3525	8.39	8.2210270528	13.1275
AZD1775	MK-4827	COLO320DM	3.7625	6.1075	-1.6474025499	7.807500000000001
AZD1775	MK-5108	COLO320DM	6.8775	7.755	4.2382752782	10.7575
AZD1775	MK-8669	COLO320DM	8.1	9.1875	10.5701294468	9.4975
AZD1775	MK-8776	COLO320DM	18.63625	17.83875	35.95576605185	20.365
AZD1775	OXALIPLATIN	COLO320DM	3.2325	5.355	-2.4087131301	7.859999999999999
AZD1775	PD325901	COLO320DM	6.5275	7.465	7.104499940399999	7.59
AZD1775	SN-38	COLO320DM	5.71	8.549999999999999	3.0467332432	10.79
AZD1775	SORAFENIB	COLO320DM	1.99	1.955	-5.1411980452	5.545
AZD1775	TOPOTECAN	COLO320DM	2.94	1.455	3.2374166405	7.105
BEZ-235	DINACICLIB	COLO320DM	9.4925	10.447500000000002	28.2983593272	13.195
BEZ-235	MK-8776	COLO320DM	9.54	8.629999999999999	20.1605997465	12.89
BEZ-235	OXALIPLATIN	COLO320DM	7.3325	7.1125	15.672198192	11.4575
BEZ-235	SN-38	COLO320DM	8.65	10.5575	27.1524512166	14.0075
BEZ-235	SORAFENIB	COLO320DM	4.28	4.27	11.7513075236	9.5325
BORTEZOMIB	ABT-888	COLO320DM	10.25	9.004999999999999	-13.5768317892	8.9475
BORTEZOMIB	BEZ-235	COLO320DM	14.82	14.595	-4.7741260385	15.015
BORTEZOMIB	DASATINIB	COLO320DM	13.38	14.26	-11.5318641829	11.37
BORTEZOMIB	DINACICLIB	COLO320DM	9.1925	9.39	-35.6137879438	9.4975
BORTEZOMIB	GELDANAMYCIN	COLO320DM	19.7325	17.9	3.4054397518	17.2
BORTEZOMIB	MK-8669	COLO320DM	11.9	11.9625	-17.3446431908	11.5425
BORTEZOMIB	MK-8776	COLO320DM	12.0625	12.864999999999998	-29.6412573431	12.625
BORTEZOMIB	OXALIPLATIN	COLO320DM	15.864999999999998	14.989999999999998	-9.6706862542	14.9675
